law_id,enactment_date,effective_date,official_title,citation,law_type,core_mechanism,observation_fields,claim_ids,primary_url,verification_status,notes
AFB-L001,1789-07-04,1789-08-01,"An Act for laying a Duty on Goods, Wares, and Merchandises imported into the United States","1 Stat. 24","tariff; drawback","Initial specific and ad valorem import duties; drawback on qualifying re-export; vessel-based discount","commodity; origin; vessel status; quantity; customs value; rate; duty assessed; export date; drawback","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/24,primary-text-checked,"Preserve scheduled rates by section; one-percent retention applied to qualifying drawback under the act"
AFB-L002,1789-07-20,1789-09-01,"An Act imposing Duties on Tonnage","1 Stat. 27","tonnage","Different tonnage rates by vessel construction and ownership; coastwise treatment","vessel; registry; ownership; tonnage; voyage type; duty assessed","AFB-C001",https://www.govinfo.gov/link/statute/1/27,primary-text-checked,"Superseded by 1790 tonnage legislation"
AFB-L003,1789-07-31,1789-08-01,"An Act to regulate the Collection of the Duties imposed by law on the tonnage of ships or vessels, and on goods, wares and merchandises imported into the United States","1 Stat. 29","collection administration","Established customs districts, ports, officers, entry procedures, valuation, security, and enforcement","district; port; officer; entry date; manifest; invoice; valuation; bond; payment; penalty","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/29,primary-text-checked,"Implementation evidence must come from customhouse records, not the statute alone"
AFB-L004,1790-07-20,1790-09-01,"An Act imposing Duties on the Tonnage of Ships or Vessels","1 Stat. 135","tonnage","Revised tonnage regime and repealed the 1789 act prospectively","vessel; registry; ownership; tonnage; voyage type; duty assessed","AFB-C001",https://www.govinfo.gov/link/statute/1/135,primary-text-checked,"Accrued duties under the earlier act remained collectible"
AFB-L005,1790-08-04,1790-10-01,"An Act to provide more effectually for the collection of the duties imposed by law on goods, wares and merchandise imported into the United States, and on the tonnage of ships or vessels","1 Stat. 145","collection administration","Replaced and expanded customs collection rules, including entry, security, valuation, and enforcement","district; entry; manifest; valuation; duty; credit term; bond; surety; maturity; cash payment; default","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/145,primary-text-checked,"Section-level extraction required before transaction coding"
AFB-L006,1790-08-10,1790-10-01,"An Act making further provision for the payment of the debts of the United States","1 Stat. 180","tariff; fiscal pledge","Revised import duties and linked revenue to funded-debt provision","commodity; quantity; value; rate; duty assessed; duty secured; revenue fund; appropriation","AFB-C001; AFB-C003",https://www.govinfo.gov/link/statute/1/180,primary-text-checked,"Do not combine statutory pledge with observed cash availability"
AFB-L007,1791-03-03,1791-07-01,"An Act supplementary to the act intituled An act making further provision for the payment of the debts of the United States","1 Stat. 199","tariff amendment","Changed duties on selected imported articles and related provisions","commodity; quantity; value; old rate; new rate; effective date; duty assessed","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/199,index-verified,"Full section and effective-date transcription remains required"
AFB-L008,1792-05-02,1792-07-01,"An Act for raising a farther sum of Money for the Protection of the Frontiers, and for other Purposes therein mentioned","1 Stat. 259","tariff; collection amendment","Raised or altered selected import duties and amended collection treatment","commodity; quantity; value; rate; credit term; drawback rule; duty assessed","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/259,index-verified,"Separate revenue purpose from realized collection"
AFB-L009,1794-06-07,1794-06-30,"An Act laying additional Duties on Goods, Wares and Merchandise imported into the United States","1 Stat. 390","tariff; drawback","Added duties to selected imports; foreign-vessel addition; allowed qualifying re-export drawback less retention","commodity; vessel status; quantity; value; additional rate; duty; re-export date; drawback; retention","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/390,primary-text-checked,"Act states a twelve-month re-export window and one-percent retention"
AFB-L010,1795-01-29,1795-07-01,"An Act further extending the time for receiving on Loan the Domestic Debt of the United States","1 Stat. 411","tariff-related amendment","Contains import-duty provisions identified by the Statutes at Large index; exact operative sections require transcription","commodity; rate; effective date; duty assessed; statutory section","AFB-C001",https://www.govinfo.gov/link/statute/1/411,index-verified,"Title alone obscures the customs provision; do not code rates until sections are checked"
AFB-L011,1797-03-03,1797-07-01,"An Act for raising a further Sum of Money by additional Duties on certain Articles imported; and for other Purposes","1 Stat. 503","tariff amendment","Added import duties on selected articles","commodity; quantity; value; additional rate; effective date; duty assessed","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/503,index-verified,"Exact rate schedule requires section transcription"
AFB-L012,1797-07-08,1797-07-08,"An Act laying an additional Duty on Salt imported into the United States, and for other Purposes","1 Stat. 533","tariff; drawback or bounty interaction","Additional salt duty with linked provisions affecting fisheries and salted provisions","salt quantity; duty; vessel; fish or provision export; allowance; payment","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/533,index-verified,"Continued by the act of May 7, 1800"
AFB-L013,1799-03-02,1799-05-01,"An Act to regulate the collection of duties on imports and tonnage","1 Stat. 627","collection code","Comprehensive collection code covering districts, officers, manifests, entry, valuation, bonds, payment, drawbacks, enforcement, and debentures","all customs_law and customs_obligation fields; original import line; re-export event; drawback claim and payment","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/1/627,primary-text-checked,"This is the controlling implementation baseline for the endpoint period; sections must be mapped individually"
AFB-L014,1800-05-07,1800-05-07,"An Act to continue in force An act laying an additional duty on Salt imported into the United States, and for other purposes","2 Stat. 60","continuation","Continued the 1797 salt-duty act for ten years from March 3, 1800, subject to stated duration","commodity; rate; effective period; statutory predecessor","AFB-C001; AFB-C002",https://www.govinfo.gov/link/statute/2/60,primary-text-checked,"Treat as continuation, not a new observed rate without checking the 1797 schedule"
AFB-L015,1800-05-13,1800-06-30,"An Act to retain a further sum on drawbacks, for the expenses incident to the allowance and payment thereof, and in lieu of stamp duties on debentures","2 Stat. 82","drawback","Increased retained share of drawbacks and denied drawback of the foreign-vessel additional duty","drawback allowed; retention rate; vessel status; debenture; net drawback paid","AFB-C002",https://www.govinfo.gov/link/statute/2/82,primary-text-checked,"Critical for measuring net rather than gross drawback"
