record_id,period_start,period_end,report_date,asp_doc_no,measure_family,revenue_source,accounting_state,amount_original,currency,amount_usd_nominal,coverage_state,denominator_treatment,source_id,source_page,evidence_level,evidence_state,verification_status,reported_or_reconstructed,notes
AFB-EC-0001,1789-09-01,1789-12-31,1790-05-11,12,tonnage_duties,foreign_vessels,duties_accrued,"$50,366.72",USD,50366.7200,reported_aggregate,exclude_until_cash_bridge,AFB-ASP1-0003,52,primary_published_transcription,table_image,verified,reported,"Not Treasury cash; state rows remain to be extracted"
AFB-EC-0002,1789-09-01,1789-12-31,1790-05-11,12,tonnage_duties,domestic_vessels,duties_accrued,"$11,990.05",USD,11990.0500,reported_aggregate,exclude_until_cash_bridge,AFB-ASP1-0003,52,primary_published_transcription,table_image,verified,reported,"Not Treasury cash; state rows remain to be extracted"
AFB-EC-0003,1789-09-01,1789-12-31,1790-05-11,12,tonnage_duties,total_vessels,duties_accrued,"$62,356.77",USD,62356.7700,reported_aggregate,exclude_until_cash_bridge,AFB-ASP1-0003,52,primary_published_transcription,table_image_and_arithmetic,verified_with_reconciliation,reported_and_reconstructed,"Foreign plus domestic equals 62356.77; degraded scan/OCR can be misread as 62350.77"
AFB-EC-0004,1789-08-01,1789-09-30,1791-01-07,22,import_duties,gross_duties,duties_arising_from_collector_returns,"$445,289.93 1/2",USD,445289.9350,reported_aggregate,exclude_until_cash_bridge,AFB-ASP1-0004,89,primary_published_transcription,table_image,verified,reported,"Fractional cent preserved"
AFB-EC-0005,1789-08-01,1789-09-30,1791-01-07,22,import_duties,ten_percent_discount,deduction_from_duties_arising,"$24,210.73 3/4",USD,24210.7375,reported_aggregate,exclude_from_receipts,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Deduction in net-duty reconciliation"
AFB-EC-0006,1789-08-01,1789-09-30,1791-01-07,22,import_duties,drawbacks,deduction_from_duties_arising,"$3.00",USD,3.0000,reported_aggregate,exclude_from_receipts,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Deduction in net-duty reconciliation"
AFB-EC-0007,1789-08-01,1789-09-30,1791-01-07,22,import_duties,collection_expense,deduction_from_duties_arising,"$5,917.02 1/2",USD,5917.0250,reported_aggregate,exclude_from_receipts,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Deduction in net-duty reconciliation"
AFB-EC-0008,1789-08-01,1789-09-30,1791-01-07,22,import_duties,net_duties,net_duties_arising_from_collector_returns,"$415,159.17 1/4",USD,415159.1725,reported_aggregate,exclude_until_cash_bridge,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Gross minus discount minus drawbacks minus collection expense"
AFB-EC-0009,1789-10-01,1790-09-30,1791-01-07,22,import_duties,gross_duties,duties_arising_from_collector_returns,"$2,130,224.91 1/4",USD,2130224.9125,incomplete_collector_returns,exclude_until_cash_bridge,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Missing one quarter from small Massachusetts ports and one Charleston quarter; lower bound"
AFB-EC-0010,1789-10-01,1790-09-30,1791-01-07,22,import_duties,ten_percent_discount,deduction_from_duties_arising,"$146,983.17 1/2",USD,146983.1750,incomplete_collector_returns,exclude_from_receipts,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Deduction; incomplete underlying returns"
AFB-EC-0011,1789-10-01,1790-09-30,1791-01-07,22,import_duties,drawbacks,deduction_from_duties_arising,"$5,311.58 1/2",USD,5311.5850,incomplete_collector_returns,exclude_from_receipts,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Deduction; incomplete underlying returns"
AFB-EC-0012,1789-10-01,1790-09-30,1791-01-07,22,import_duties,collection_expense,deduction_from_duties_arising,"$74,220.66 1/2",USD,74220.6650,incomplete_collector_returns,exclude_from_receipts,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Deduction; incomplete underlying returns"
AFB-EC-0013,1789-10-01,1790-09-30,1791-01-07,22,import_duties,net_duties,net_duties_arising_from_collector_returns,"$1,903,709.48 3/4",USD,1903709.4875,incomplete_collector_returns,exclude_until_cash_bridge,AFB-ASP1-0004,89,primary_published_transcription,table_image_and_arithmetic,verified,reported,"Gross minus deductions; incomplete lower bound and not proven Treasury cash"
