record_id,period_start,period_end,pdf_page,side,line_label,amount_usd,accounting_type,strict_receipt_denominator,usable_inflow_denominator,debt_service_numerator,verification_state,source_url
AFB-5637-Q4-001,1797-10-01,1797-12-31,81,receipt,Opening Treasury balance subject to warrants,1825856.26,opening_cash_stock,no,no,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-002,1797-10-01,1797-12-31,81,receipt,Duties on merchandise and tonnage received into Treasury,1982927.54,customs_treasury_cash,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-003,1797-10-01,1797-12-31,81,receipt,Internal duties,137389.37,internal_revenue_cash,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-004,1797-10-01,1797-12-31,81,receipt,Postage of letters,32500.00,operating_noncustoms_cash,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-005,1797-10-01,1797-12-31,81,receipt,Six percent stock sold by Bank of New York,70000.00,debt_financing_proceeds,no,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-006,1797-10-01,1797-12-31,81,receipt,Public lands sold at Pittsburg,47856.20,asset_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-007,1797-10-01,1797-12-31,81,receipt,Fees on letters patent,360.00,fee_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-008,1797-10-01,1797-12-31,81,receipt,Fees on land patents,126.00,fee_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-009,1797-10-01,1797-12-31,81,receipt,Cents and half cents coined at Mint,4860.00,mint_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-010,1797-10-01,1797-12-31,81,receipt,Willings and Francis principal and part interest repayment,47111.54,agent_or_contractor_recovery,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-011,1797-10-01,1797-12-31,81,expenditure,Domestic debt interest and six percent stock reimbursement,1076388.42,debt_service_cash,no,no,yes,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-012,1797-10-01,1797-12-31,81,expenditure,Dutch debt,319324.04,foreign_debt_service_cash,no,no,yes,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-013,1797-10-01,1797-12-31,81,expenditure,Interest on domestic loans,9000.00,domestic_debt_interest_cash,no,no,yes,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q4-014,1797-10-01,1797-12-31,81,expenditure,Temporary domestic bank loans repaid,970000.00,domestic_debt_principal_cash,no,no,yes,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-Q1-001,1798-01-01,1798-03-31,82,receipt,Opening Treasury balance subject to warrants,1019825.62,opening_cash_stock,no,no,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-002,1798-01-01,1798-03-31,82,receipt,Duties on merchandise and tonnage received into Treasury,1901789.82,customs_treasury_cash,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-003,1798-01-01,1798-03-31,82,receipt,Internal duties,173158.63,internal_revenue_cash,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-004,1798-01-01,1798-03-31,82,receipt,Postage of letters,14500.00,operating_noncustoms_cash,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-005,1798-01-01,1798-03-31,82,receipt,Public lands sold at Pittsburg,393.32,asset_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-006,1798-01-01,1798-03-31,82,receipt,Fees on letters patent,270.00,fee_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-007,1798-01-01,1798-03-31,82,receipt,Fees on land patents,144.00,fee_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-008,1798-01-01,1798-03-31,82,receipt,Cents and half cents coined at Mint,670.00,mint_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-009,1798-01-01,1798-03-31,82,receipt,Bank of United States dividends,44400.00,asset_income_receipt,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-010,1798-01-01,1798-03-31,82,receipt,Named former officers and agents repayments,8019.90,agent_recovery,yes,yes,no,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-011,1798-01-01,1798-03-31,82,expenditure,Domestic debt interest and six percent stock reimbursement,709340.98,debt_service_cash,no,no,yes,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-012,1798-01-01,1798-03-31,82,expenditure,Interest on domestic loans,121437.50,domestic_debt_interest_cash,no,no,yes,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-Q1-013,1798-01-01,1798-03-31,82,expenditure,Dutch debt,50362.82,foreign_debt_service_cash,no,no,yes,second_check_unattributed_provisional,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
