inventory_id,document_number,statement_label,statement_title,report_date,period_start,period_end,web_extractor_page_index,pdf_ordinal_pages,accounting_basis,p1_role,admission_status,principal_risk,page_url
AFB-5637-0001,drawbacks-report,drawbacks-table,"Statement exhibiting Drawbacks on dutiable articles exported during 1794 1795 and 1796 compared with Duties collected",1798-01-29,1794-01-01,1796-12-31,48-49,49-50,"annual duties collected and drawbacks by article",customs_gross_and_offset_candidate,secondary_pending_double_verification,"collector-stage duties and drawbacks need not share import cohort or Treasury custody",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=49
AFB-5637-0002,internal-revenue-report,narrative,"Report concerning the internal revenues of the United States",1797-12-15,1795-10-01,1797-09-30,54-58,55-59,"returns estimates and administrative discussion across tax-specific periods",noncustoms_denominator_definition_control,admit_metadata_only,"returns estimates accruals and collection periods are not uniform Treasury cash",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=55
AFB-5637-0003,internal-revenue-report,I-VI,"Statements of duties on distilled spirits stills auction sales licences carriages refined sugar and snuff",1797-12-15,1795-10-01,1797-09-30,58-63,59-64,"district returns with duties payable collected or estimated and collection adjustments",noncustoms_revenue_reconciliation,image_review_required,"accounting states and reporting intervals vary by duty and district",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=59
AFB-5637-0004,internal-revenue-report,general-statement,"General statement of the internal revenues",1797-12-15,1795-10-01,1797-09-30,63,64,"summary of internal duties and adjustments",noncustoms_denominator_candidate,image_review_required,"summary inherits estimates missing returns and noncash accounting states",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=64
AFB-5637-0005,internal-revenue-report,officer-cost-statements,"Compensation and collection-expense statements for internal revenues",1797-12-15,1795-10-01,1797-09-30,64-70,65-71,"officer salaries commissions and incidental collection costs",collection_cost_context,image_review_required,"cost period and underlying revenue period must be matched before netting",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=65
AFB-5637-0006,internal-revenue-report,summary-restatement,"Summary restatement of internal revenue",1797-12-15,1795-10-01,1797-09-30,71,72,"restated internal-revenue totals and costs",noncustoms_denominator_candidate,image_review_required,"may combine assessed estimated collected and net concepts",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=72
AFB-5637-0007,133,narrative,"Additional Revenues report",1798-05-01,1797-01-01,1798-12-31,75-77,76-78,"retrospective 1797 receipts plus prospective 1798 revenue and expenditure discussion",definition_and_risk_context,admit_metadata_only,"narrative rounds actual figures and combines realized history with forecasts",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=76
AFB-5637-0008,133,prospective-expenditure,"Estimate of expenditures for 1798",1798-04-27,1798-01-01,1798-12-31,78,79,"prospective expenditures",P3_ex_ante_risk,exclude_from_realized_P1,"forecast rather than realized cash",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=79
AFB-5637-0009,133,prospective-revenue,"Estimate of revenues for 1798",1798-04-27,1798-01-01,1798-12-31,79,80,"prospective receipts by source",P3_ex_ante_risk,exclude_from_realized_P1,"forecast rather than realized cash",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=80
AFB-5637-0010,133,actual-account-Q4-1797,"Account of receipts and expenditures of the United States commencing October 1 and ending December 31 1797",1798-04-27,1797-10-01,1797-12-31,80,81,"actual Treasury receipts expenditures opening and closing balances",primary_P1_cash_candidate,double_image_and_arithmetic_verified_quarterly_control,"quarter is not an annual equivalent; opening balance stock sale and agent repayment must remain distinct",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=81
AFB-5637-0011,133,actual-account-Q1-1798,"Account of receipts and expenditures of the United States commencing January 1 and ending March 31 1798",1798-04-27,1798-01-01,1798-03-31,81,82,"actual Treasury receipts expenditures opening and closing balances",primary_P1_cash_candidate,double_image_and_arithmetic_verified_quarterly_control,"quarter is not an annual equivalent; opening balance dividends and agent repayments must remain distinct",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=82
AFB-5637-0012,133,appropriation-balances,"Balances of appropriations",1798-04-27,1798-04-01,1798-04-01,82,83,"unexpended appropriation balances",appropriation_stock_context,exclude_from_cash_ratios,"appropriation authority or balance is not cash receipt or expenditure",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=83
AFB-5637-0013,133,bank-loans,"Statement of loans from the Bank of the United States and Bank of New York",1798-04-27,1794-01-01,1798-04-27,83,84,"original loan principal reimbursements and unpaid balances",financing_stock_context,exclude_from_annual_inflow_ratios,"cumulative originations repayments and outstanding stock do not identify period loan proceeds",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=84
AFB-5637-0014,internal-duties-1797,annual-statements,"Statements of internal duties for the year ending in 1797",1798-02-01,1796-10-01,1797-09-30,89-94,90-95,"district tax returns and collections",noncustoms_revenue_reconciliation,image_review_required,"fiscal periods and accounting states require statement-level verification",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=90
AFB-5637-0015,sinking-fund-report,statements,"Report and statements of the Commissioners of the Sinking Fund",1797-12-15,1797-01-01,1797-12-15,95-97,96-98,"stock purchases debt reimbursements cash applications and balances",debt_service_candidate,image_review_required,"cash paid stock face value appropriations and balances must remain separate",https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1798.pdf#page=96
