selection_id,m178_roll,port_or_district,letters_to_collector,letters_from_collector,p1_overlap,selection_state,priority,planned_use,limitation
AFB-M178-0001,1,"Alexandria, Virginia",1790-1820,1789-1831,yes,eligible,P1-secondary,"two-way remittance and reporting case","survival reconstructed after 1833 fire"
AFB-M178-0002,2,"Baltimore, Maryland",1790-1830,none,yes,eligible_outgoing_only,P1-secondary,"Treasury instructions to a major port","no incoming correspondence"
AFB-M178-0003,6,"Boston, Massachusetts",1789-1796,none,yes,selected_first,P1-high,"Treasury instructions during opening customs period","pair with roll 11; no incoming letters on this roll"
AFB-M178-0004,7,"Boston, Massachusetts",1797-1808,none,yes,eligible_later,P1-secondary,"extend Boston outgoing series after 1796","not needed for opening 1789-1790 test"
AFB-M178-0005,11,"Boston, Massachusetts",none,1790-1812,yes,selected_first,P1-high,"collector reports delays and remittances during opening period","incoming run begins in 1790 rather than 1789"
AFB-M178-0006,15,"New Bern, North Carolina",1790-1833,1790-1832,yes,eligible,P1-secondary,"two-way smaller-port comparison","not representative of national customs volume"
AFB-M178-0007,16,"New Orleans, Louisiana",1803-1833,1803-1833,endpoint_only,eligible_endpoint,P2,"Louisiana Purchase transition and new customs district","does not resolve 1789-1802"
AFB-M178-0008,17,"New York, New York",1828-1833,1829-1833,no,excluded,none,"none for project period","major-port early correspondence absent"
AFB-M178-0009,18,"Norfolk, Virginia",1789-1833,1825-1833,yes,eligible_outgoing_only,P1-secondary,"Treasury instructions from 1789","no early incoming correspondence"
AFB-M178-0010,20,"Philadelphia, Pennsylvania",1790-1816,none,yes,eligible_outgoing_only,P1-high-supporting,"Treasury instructions to major port","incoming correspondence is on roll 22 only from 1803"
AFB-M178-0011,22,"Philadelphia, Pennsylvania",none,1803-1826,endpoint_only,eligible_endpoint,P1-endpoint,"incoming correspondence at project endpoint","no incoming evidence for 1789-1802"
AFB-M178-0012,24,"Portland, Maine",1789-1833,none,yes,eligible_outgoing_only,P1-secondary,"Treasury instructions from 1789","no incoming correspondence"
AFB-M178-0013,26,"Portsmouth, New Hampshire",1790-1833,1789-1833,yes,eligible,P1-secondary,"two-way early-port comparison","survival reconstructed"
AFB-M178-0014,27,"Providence, Rhode Island",1790-1832,none,yes,eligible_outgoing,P1-secondary,"Treasury instructions","pair with roll 28"
AFB-M178-0015,28,"Providence, Rhode Island",none,1790-1809,yes,eligible_incoming,P1-secondary,"collector reports and remittances","pair with roll 27"
AFB-M178-0016,30,"Richmond, Virginia",1790-1833,1802-1833,yes,eligible_outgoing_only,P1-secondary,"Treasury instructions from 1790","incoming begins only in 1802"
AFB-M178-0017,32,"Charleston, South Carolina",1830-1833,1831-1833,no,excluded,none,"none for project period","cannot resolve missing Charleston return in 1790"
AFB-M178-0018,32,"New Haven, Connecticut; Delaware; Little Egg Harbor, New Jersey; Camden, North Carolina","1792-1833; 1792-1833; 1792-1828; 1792-1832","1829-1833; none; 1808-1815; none",yes,eligible_mixed_roll,P1-low,"target only if central accounts identify one of these ports","mixed roll and mostly outgoing evidence"
AFB-M178-0019,34,"Georgetown, District of Columbia",1820-1833,1791-1832,yes,eligible_incoming_only,P1-low,"incoming collector evidence from 1791","no early outgoing letters on this roll"
AFB-M178-0020,35,"Gloucester, Massachusetts; Machias, Maine","1790-1833; 1789-1832","1829-1833; 1828-1832",yes,eligible_outgoing_only,P1-low,"small-port instruction comparison","early incoming correspondence absent"
AFB-M178-0021,36,"Bridgeton, New Jersey; Annapolis, Maryland","1790-1830; 1789-1833","1818; 1833",yes,eligible_outgoing_only,P1-low,"small-port instruction comparison","early incoming correspondence absent"
AFB-M178-0022,37,"Michilimackinac, Michigan",1802-1830,none,endpoint_only,eligible_endpoint,P2,"frontier customs administration at endpoint","no incoming correspondence"
AFB-M178-0023,38,"St. Marys, Georgia",1790-1831,1804-1832,yes,eligible_outgoing_only,P1-low,"southern-port instructions","incoming begins after project endpoint"
