candidate_id,source,repository_or_access,coverage,target_measure,independence_from_asp,expected_resolution,priority,use_rule,principal_limit,url
AFB-ALT-0001,"Day Book of the Register's Office of the Treasury","NARA RG 217 microfilm T964","1789-1791","dated entries in the central Treasury accounting stream",high,transaction_or_daily,P1-critical,"use to identify receipt dates payors accounts and posting logic; reconcile to abstracts","one roll; access and legibility unresolved; account headings must be decoded",https://www.archives.gov/research/guide-fed-records/groups/217.html
AFB-ALT-0002,"Abstracts of receipts and expenditures of the United States","NARA RG 217 Receipts and Expenditures Division","1789-1889","central receipt and expenditure totals by account and period",high,annual_or_subannual,P1-critical,"use as proposed denominator backbone only after period and classification audit","series identifiers volume list and digitization unresolved",https://www.archives.gov/research/guide-fed-records/groups/217.html
AFB-ALT-0003,"Treasury correspondence with collectors of customs","NARA RG 56; microfilm M178 and related series","1789-1833","remittance instructions delays defaults and accounting definitions",medium,event_or_instruction,P1-high,"use to explain timing and classify collector-to-Treasury transitions; never sum letters into national totals","selective correspondence does not prove compliance or completeness",https://www.archives.gov/research/guide-fed-records/groups/056.html
AFB-ALT-0004,"Customhouse and collection-district financial records","NARA RG 36 regional holdings","district-dependent from 1789","collector cash receipts bonds drawbacks expenses and remittances",high,transaction_to_quarterly,P1-high-sample,"sample only after a district-series survival matrix; test central totals and missing-return episodes","uneven survival and access create severe port-selection bias",https://www.archives.gov/research/guide-fed-records/groups/036.html
AFB-ALT-0005,"U.S. Finance tabular extracts of receipts and expenditures of the United States Treasury","Library of Congress Manuscript Division microfilm shelf 24,495","1784-1790","tabular federal receipts and expenditures at the constitutional transition",potentially_high,table_or_period,P1-critical,"obtain microfilm and determine whether 1789-1790 entries are federal Treasury cash and whether customs is separately classified","available only on microfilm; provenance accounting basis granularity and relation to RG 217 are unresolved",https://tile.loc.gov/storage-services/service/gdc/gdcfindingaidpdfs/ms014048/ms014048.pdf
AFB-ALT-0006,"Alexander Hamilton Papers","Library of Congress and fully digitized NYPL Hamilton collection","principally Hamilton era","definitions instructions collector problems and policy expectations",medium,document_or_event,P1-supporting,"search for named collectors remittances quarterly returns and missing reports; use as mechanism evidence","personal and official correspondence is selective and cannot establish national cash totals",https://www.loc.gov/collections/alexander-hamilton-papers/
AFB-ALT-0007,"Treasury Department circulars to collectors","Library of Congress; NARA DocsTeach; Founders editions","1789-1795 target","required reporting remittance and expense procedures",medium,instruction,P1-supporting,"derive contemporaneous accounting workflow and required fields; compare practice against district records","rules are not evidence that funds were collected or transferred",https://docsteach.org/document/circular-hamilton-treasury/
AFB-ALT-0008,"Statement of receipts from March 4 1789 by calendar year","1897 Treasury Annual Report Table K via FRASER","1789 onward","retrospective annual customs and total receipts",low,annual,P1-screening,"use only for completeness checks anomaly detection and comparison with independently reconstructed totals","late retrospective compilation; basis revisions and source lineage are unresolved",https://fraser.stlouisfed.org/title/194/item/5543
AFB-ALT-0009,"First Bank of the United States balance sheets and Treasury-deposit statements","published or archival bank records","1791-1811","public-deposit stocks and aggregate Treasury banking relationship",medium,statement_date,P1-supporting-after-1791,"use as liquidity stock cross-check and possible reconciliation constraint; do not infer customs composition","bank balance sheets generally aggregate Treasury deposits and begin after the earliest 1789-1790 period",https://www.federalreservehistory.org/essays/first-bank-of-the-us
AFB-ALT-0010,"United States Department of the Treasury Records selected containers","Library of Congress Manuscript Division MSS83125","1789-1803 selected","appropriations circulars general correspondence letterbook and loan records",medium,item_dependent,P1-supporting,"use exact container map; inspect only items tied to accounting definitions remittances or financing mechanisms","assembled collection of largely unrelated records; not a coherent national fiscal series",https://tile.loc.gov/storage-services/service/gdc/gdcfindingaidpdfs/ms014048/ms014048.pdf
