census_id,asp_class,volume,asp_doc_no,title,originating_body,document_date,communicated_date,observation_coverage,printed_start_page,loc_pdf_url,p1_relevance,accounting_risk,priority,census_state,next_action
AFB-ASP1-0001,III Finance,1,6,"Plan for the support of public credit","Treasury Department",1790-01-09,1790-01-14,"public debt funding plan and proposed revenue support",15,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"institutional linkage between revenue and funded debt","plan and forecast; not realized cash",context,header_verified,"index cited revenue pledges; do not enter as receipt observations"
AFB-ASP1-0002,III Finance,1,11,"Operation of the act laying duties on imports and plan for collection","Treasury Department",,,"customs administration and collection design",45,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"defines machinery producing customs cash","legal-administrative design; may not report realized receipts",P1-supporting,toc_identified,"verify header date and extract collection/remittance rules"
AFB-ASP1-0003,III Finance,1,12,"Abstract of duties on tonnage from September 1 to December 31 1789","Treasury Department",1790-05-11,1790-05-11,"1789-09-01 through 1789-12-31 tonnage duties accrued",52,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"earliest federal customs component","accrued duties are not necessarily Treasury cash",P1-core,aggregate_table_image_verified,"extract state rows and locate cash-transfer counterpart"
AFB-ASP1-0004,III Finance,1,22,"Abstracts of duties received from August 1 1789 to September 30 1790","Treasury Department",1791-01-07,1791-01-07,"1789-08-01 through 1790-09-30 import duties",89,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"earliest multi-period customs evidence","tables report duties arising from collector returns; Treasury cash status unproved and later period incomplete",P1-core,aggregate_table_image_verified,"extract port rows and reconcile to cash-transfer accounts"
AFB-ASP1-0005,III Finance,1,32,"Estimates of receipts and expenditures for 1791 and 1792","Treasury Department",,1792-01-23,"1791 estimated net product and 1792 estimate",144,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"forecast and missing-return evidence; not a realized Treasury-cash denominator","1791 import quarters include extrapolation for missing ports and an entirely estimated fourth quarter; internal duties and all 1792 values are estimates",P1-supporting,image_verified_excluded_realized_P1,"retain as ex ante forecast and data-quality evidence; do not enter annual cash ratios"
AFB-ASP1-0006,III Finance,1,44,"Bank deposits surplus revenue and loans","Treasury Department",,1793-01-18,"through January 1793",186,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"identifies cash placement surplus and borrowing","balances and loan proceeds are not operating revenue",P1-core,header_verified,"extract deposits loan flows and surplus without adding them to revenue"
AFB-ASP1-0007,III Finance,1,46,"Loans foreign-debt payments sinking fund and surplus revenue","Treasury Department",,1793-02-04,"principally 1790-1792",191,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"financing and debt-use bridge","multiple stocks flows and unapplied loan balances",P1-core,header_verified,"inventory statements and reconcile to document 44"
AFB-ASP1-0008,III Finance,1,54,"General state of revenue on stills and domestic spirits","Treasury Department",1793-03-02,1793-03-02,"early internal-revenue operations",249,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"noncustoms denominator candidate","accrued assessed collected and net proceeds may differ",P1-core,header_verified,"extract measure definitions and collection expense"
AFB-ASP1-0009,III Finance,1,59,"Balance in Treasury and domestic loans","Treasury Department",,1794-02-05,"cash outlook to 1794-04-01",272,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"liquidity and borrowing evidence","reported balance forecast deficiency and loans must remain separate",P1-core,header_verified,"extract dated balances demands and expected remittances"
AFB-ASP1-0010,III Finance,1,61,"Public debt and receipts and expenditures","Treasury Department",1794-02-06,1794-02-10,"response explaining why requested annual statements were unavailable",274,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"negative evidence on reporting completeness and period alignment; no fiscal amounts","document contains no completed receipt expenditure or debt statement; export returns used longer-than-quarter periods and Philadelphia return was missing after the epidemic",P1-supporting,image_verified_no_numeric_statement,"cite as data-quality and archival-target evidence; exclude from ratios"
AFB-ASP1-0011,III Finance,1,87,"Public debt and annual sums required for discharge","Treasury Department",1795-12-31,1796-01-04,"debt position and prospective annual requirements",371,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"tests debt-service constraint","debt stock and prospective requirements are not cash payments",P1-supporting,header_verified,"extract ex-ante debt-service schedule and assumptions"
AFB-ASP1-0012,III Finance,1,93,"Internal duties and collection expenses for 1794 and 1795","Treasury Department",,,"1794-1795 internal revenue",386,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"noncustoms denominator candidate","gross duties net product and expense may be mixed",P1-core,toc_identified,"verify header and extract annual net cash-compatible measures"
AFB-ASP1-0013,III Finance,1,99,"Necessity of additional revenue or loans for 1796 appropriations","Treasury Department",,1796-05-19,"1796 fiscal needs and financing alternatives",413,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"contemporaneous fiscal risk assessment","policy proposal and estimates rather than realized performance",P1-supporting,header_verified,"code forecast assumptions and stated downside risks"
AFB-ASP1-0014,III Finance,1,102,"Drawbacks compared with duties for 1793-1795","Treasury Department",1796-12-16,1796-12-16,"1793-1795 customs duties and drawbacks",471,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"required customs net-revenue bridge","duties and drawbacks may be accrued or paid on different timing",P1-core,header_verified,"extract by year and preserve gross duty drawback and net separately"
AFB-ASP1-0015,III Finance,1,106,"Public debt amounts and payments at various periods","Treasury Department",1796-12-29,1796-12-29,"public debt through 1796",481,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"debt-payment comparison","principal interest asset exchanges and refinancing can be conflated",P1-core,header_verified,"extract payment components and instruments"
AFB-ASP1-0016,III Finance,1,109,"Additional duties on salt brown sugar teas and white cottons","Treasury Department",,,"late-1790s proposed revenue increase",493,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"commodity incidence and fiscal-risk context","proposed yield is not realized revenue",context,toc_identified,"verify date and code as forecast only"
AFB-ASP1-0017,III Finance,1,124,"Drawbacks compared with duties for 1794-1796","Treasury Department",,,"1794-1796 customs duties and drawbacks",551,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"overlap check and customs net bridge","overlaps document 102 and may revise prior values",P1-core,toc_identified,"compare vintages and preserve revisions"
AFB-ASP1-0018,III Finance,1,129,"Internal revenues and collection expenses","Treasury Department",1798-02-21,1798-02-23,"internal revenues through 1796 or 1797",557,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"noncustoms denominator candidate","late Commissioner documents and inconsistent fiscal periods",P1-core,header_verified,"extract periods gross net and expenses"
AFB-ASP1-0019,III Finance,1,137,"Internal duties and collection expenses for 1797","Treasury Department",1798-12-13,1798-12-13,"year ending 1797-06-30 and related duty periods",592,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"noncustoms denominator candidate","different internal taxes use different coverage periods",P1-core,header_verified,"extract each tax with its own period"
AFB-ASP1-0020,III Finance,1,145,"Internal revenues for 1798 and collection expense","Treasury Department",1800-02-04,1800-02-05,"principally 1798",616,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"noncustoms denominator candidate","reporting lag and mixed accrual/receipt measures",P1-core,header_verified,"extract statement metadata before amounts"
AFB-ASP1-0021,III Finance,1,146,"Duties and drawbacks for 1795-1798","Treasury Department",1800-02-07,1800-02-10,"1795-1798 customs duties and drawbacks",623,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"customs net-revenue series and vintage check","not automatically Treasury cash; overlaps earlier reports",P1-core,header_verified,"extract annual series and compare documents 102 and 124"
AFB-ASP1-0022,III Finance,1,147,"Revenues and appropriations for 1800 with late-1799 receipts expenditures and Bank loans","House Committee on Ways and Means",,1800-02-24,"1799 fourth quarter and 1800 estimates",626,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"cash borrowing and forecast bridge","committee synthesis mixes estimates appropriations flows and balances",P1-core,header_verified,"trace every table back to originating department"
AFB-ASP1-0023,III Finance,1,151,"Additional revenue sufficient for loan interest and principal redemption","House Committee on Ways and Means",,1800-04-30,"1800 financing proposal",646,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"explicit debt-financing stress test","policy scenario not realized outcome",P1-supporting,header_verified,"record forecast revenue and financing assumptions separately"
AFB-ASP1-0024,III Finance,1,152,"Public debt incurred and extinguished since establishment of government","Treasury Department",1800-04-29,1800-05-08,"1789 through 1800",660,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"longitudinal debt stock and redemption bridge","retrospective reconstruction with stock-flow and exchange complexities",P1-core,header_verified,"extract statement inventory and reconciliation notes"
AFB-ASP1-0025,III Finance,1,154,"Internal revenues for 1799 and collection expenses","Treasury Department",1800-12-19,1800-12-22,"calendar 1799",681,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"noncustoms denominator candidate","net revenue differs from later Treasury cash receipts",P1-core,header_verified,"extract components and collection cost"
AFB-ASP1-0026,III Finance,1,159,"Duties and drawbacks for 1797-1799","Treasury Department",1801-02-09,1801-02-10,"1797-1799",695,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"customs series and revision check","duty-minus-drawback series is not necessarily cash received",P1-core,header_verified,"compare overlapping values with documents 124 and 146"
AFB-ASP1-0027,III Finance,1,166,"Internal revenues for 1800 and collection expenses","Treasury Department",1801-12-21,1801-12-21,"calendar 1800",718,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"supports 1801 report internal-revenue figures","accrued/net revenue not Treasury cash and later publication date",P1-core,header_verified,"reconcile to 1801 annual report and Statement M"
AFB-ASP1-0028,III Finance,1,167,"Drawbacks compared with duties for 1798-1800","Treasury Department",,,"1798-1800",727,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,"customs endpoint vintage check","overlapping retrospective table and accounting basis unresolved",P1-core,toc_identified,"verify header and compare with documents 146 and 159"
