source_id,canonical_source_id,title,originating_office,author,document_date,observation_coverage,repository,repository_identifier,primary_url,evidence_level,evidence_state,priority,planned_procedure,limitations
AFB-P1S001,AFB-S088,"Report on the Finances, December 1801",United States Department of the Treasury,Albert Gallatin,1801-12-18,principally through 1801-09-30,FRASER; underlying American State Papers Finance,FRASER item 5640,https://fraser.stlouisfed.org/title/194/item/5640,E3,annual_reconstruction_audited_ratio_blocked,P1,locate settled Register or Treasurer account for year ending 1801-09-30; require all receipts financing and full-year debt-service cash,Exact customs and internal Treasury cash are verified but other receipt categories and full-year cash debt service are incomplete or period-incompatible
AFB-P1S002,AFB-S089,"Report on the Finances, December 1802",United States Department of the Treasury,Albert Gallatin,1802-12-16,principally through 1802-09-30,FRASER; underlying American State Papers Finance,FRASER item 5641,https://fraser.stlouisfed.org/title/194/item/5641,E3,annual_reconstruction_audited_ratio_blocked,P1,locate settled annual Register or Treasurer account; reconcile all receipts Bank-stock transaction and 166612.50 debt-service discrepancy,Rounded customs cash postage and land specie are verified; denominator incomplete; printed debt-service total fails component arithmetic and includes noncash land certificates
AFB-P1S003,AFB-S090,"Report on the Finances, October 1803",United States Department of the Treasury,Albert Gallatin,1803-10-25,principally through 1803-09-30,FRASER; underlying American State Papers Finance,FRASER item 5642,https://fraser.stlouisfed.org/title/194/item/5642,E3,statement_reconciled,P1;P2,finish image verification; extract statements A-E; reconcile receipts debt payments balances and Purchase estimates,Narrative contains estimates and rounded figures; Purchase forecast must remain ex ante
AFB-P1S004,AFB-S091,"American State Papers: Finance, core-period document census",Congressional and executive documents,multiple,,1789-1803,Library of Congress,Class III Finance volume 1; llsp009,https://tile.loc.gov/storage-services/service/ll/llscd/llsp009/llsp009.pdf,E4,census_started,P1,extract 28 inventoried P1 candidates; resolve toc-only headers; link reproduced reports to originating office and trace to E1/E2 records,Retrospective selected compilation; irregular reporting periods; absence is not proof of no underlying record
AFB-P1S005,AFB-S095,"Statement of receipts of the United States from March 4, 1789, by calendar years",United States Department of the Treasury,retrospective Treasury compiler,1897-06-30,1789 onward,FRASER,1897 Annual Report Table K,https://fraser.stlouisfed.org/title/194/item/5543,E4,source_identified,P1-screening,extract early-year receipt series only as a completeness and reasonableness check,Retrospective series; accounting construction and revisions must be established before analytical use
AFB-P1S006,AFB-S092,Office of the Register Receipts and Expenditures Division central accounting records,United States Department of the Treasury,Register of the Treasury,,1789-1803 target window,National Archives and Records Administration,RG 217 section 217.2.1; Inventory 14 entry pending,https://www.archives.gov/research/guide-fed-records/groups/217.html,E1-candidate,reference_request_sent,P1,await Archives I response; obtain exact series identifiers volume list location and samples for daybooks and abstracts; test accounting continuity,not confirmed digitized; guide description is not evidence for amounts; classifications may change
AFB-P1S007,AFB-S057,Treasury public-debt accounts and loan records,United States Department of the Treasury,Register and public-debt offices,,1790-1803 target window,National Archives and Records Administration,RG 53 sections 53.2.2 53.2.3 and 53.2.5; NC 120 entries pending,https://www.archives.gov/research/guide-fed-records/groups/053.html,E1-candidate,series_identified,P1;P2,obtain entry and volume citations for account books loan of 1790 Register estimates and 1801 sinking-fund report,not confirmed digitized; later administrative arrangement may affect series descriptions
AFB-P1S008,AFB-S016,Customhouse and collection-district records,United States Customs Service and predecessor district offices,customs collectors,,district-dependent 1789-1803 target window,National Archives and Records Administration,RG 36 section 36.3.1; NC 154 entries pending,https://www.archives.gov/research/guide-fed-records/groups/036.html,E1-candidate,record_group_identified,P2-after-P1,obtain NC 154 and construct district-series survival matrix before sample selection,broadly not digitized; survival and location vary; available-port sampling would bias inference
AFB-P1SRC-0001,AFB-S015,Excerpts from the American State Papers: 1792,United States Department of the Treasury,United States Department of the Treasury,1792,1792 calendar-year statements,FRASER,FRASER item 5631,https://fraser.stlouisfed.org/title/194/item/5631,E3,visual_transcription_ocr_crosscheck_independent_pending,P1,"preserve image page, accounting state, and reconciliation group for each observation",Later compiled printing; OCR is only a cross-check; Statement A and Statement B serve different accounting functions
AFB-P1SRC-0002,AFB-S060,Excerpts from the American State Papers: 1796,United States Department of the Treasury,Oliver Wolcott Jr.; Treasury compilers,1796-03-03,principally 1793-1795 statements with mixed periods,FRASER,FRASER item 5636,https://fraser.stlouisfed.org/title/194/item/5636,E3,second_pass_unattributed_secondary_controls,P1-screening,"retain only explicit accounting states and exclude accrual, assessed, estimated, or mixed-period observations from primary annual ratios",Statements use heterogeneous periods and accounting bases; most observations are secondary controls rather than compatible annual cash evidence
AFB-P1SRC-0003,AFB-S087,Excerpts from the American State Papers: 1798,United States Department of the Treasury,Oliver Wolcott Jr.; Treasury compilers,1798,1797 Q4 and 1798 Q1 Treasury statements,FRASER,FRASER item 5637,https://fraser.stlouisfed.org/title/194/item/5637,E3,provisional_quarterly_controls_independent_pending,P1-control,preserve quarter and exclude from annual coverage; retain opening-balance and financing classifications,Quarterly evidence cannot be annualized or counted toward the P1 annual coverage floor
