screen_id,port_or_district,state,current_nara_location,publicly_stated_coverage,publicly_stated_record_types,opening_period_financial_series_status,evidence_state,sampling_status,next_action,source_url
AFB-RG36-0001,"Boston, Massachusetts",Massachusetts,"National Archives at Boston","collector records 1789-1819 publicly described for lighthouse activity","correspondence on lighthouse location construction repair staffing and maintenance",not_confirmed,repository_page_only,blocked,"obtain series list for customs financial ledgers returns bonds drawbacks and remittances 1789-1803",https://www.archives.gov/boston/holdings/rg-001-049.html
AFB-RG36-0002,"Newport, Rhode Island",Rhode Island,"National Archives at Boston","1790-1902","lighthouse construction operation maintenance and early revenue-cutter records",not_confirmed,repository_page_only,blocked,"obtain series list for customs financial and trade records 1790-1803",https://www.archives.gov/boston/holdings/rg-001-049.html
AFB-RG36-0003,"Portsmouth, New Hampshire",New Hampshire,"National Archives at Boston",unresolved,unresolved,not_confirmed,record_group_only,blocked,"request district series and inclusive dates from regional inventory",https://www.archives.gov/boston/finding-aids/maritime.html
AFB-RG36-0004,"Providence, Rhode Island",Rhode Island,"National Archives at Boston",unresolved,unresolved,not_confirmed,record_group_only,blocked,"request district series and inclusive dates from regional inventory",https://www.archives.gov/boston/finding-aids/maritime.html
AFB-RG36-0005,"Philadelphia, Pennsylvania",Pennsylvania,"National Archives at Philadelphia","1789-1971","vessel entrances and clearances cargo collection of duties and fees; forms ledgers and manifests",possible_not_series_resolved,repository_page_only,provisionally_eligible,"obtain draft inventory and isolate 1789-1803 ledgers manifests duty and fee records",https://www.archives.gov/philadelphia/holdings/rg-001-049
AFB-RG36-0006,"Baltimore, Maryland",Maryland,"National Archives at Philadelphia","public regional description lists 1939-1960","customs collector records",not_confirmed_for_project,repository_page_only,blocked,"resolve whether early Baltimore records survive elsewhere or are absent from regional holdings",https://www.archives.gov/philadelphia/holdings/rg-001-049
AFB-RG36-0007,"New York, New York",New York,"National Archives at Philadelphia",unresolved,unresolved,not_confirmed,record_group_only,blocked,"obtain regional draft inventory and exact early series status",https://www.archives.gov/philadelphia
AFB-RG36-0008,"Alexandria, Virginia",Virginia,"National Archives regional location unresolved",unresolved,unresolved,not_confirmed,record_group_only,blocked,"resolve custodial location and district series through NC 154 and regional inventories",https://www.archives.gov/research/guide-fed-records/groups/036.html
AFB-RG36-0009,"Norfolk, Virginia",Virginia,"National Archives regional location unresolved",unresolved,unresolved,not_confirmed,record_group_only,blocked,"resolve custodial location and district series through NC 154 and regional inventories",https://www.archives.gov/research/guide-fed-records/groups/036.html
AFB-RG36-0010,"New Bern, North Carolina",North Carolina,"National Archives at Atlanta expected but unconfirmed",unresolved,unresolved,not_confirmed,record_group_only,blocked,"obtain Atlanta RG 36 series list and inclusive dates",https://www.archives.gov/atlanta/holdings/rg-001-049.html
AFB-RG36-0011,"Charleston, South Carolina",South Carolina,"National Archives at Atlanta expected but unconfirmed","public finding aids expose later crew and other maritime records","crew lists and selected maritime records",not_confirmed_for_1790_finance,partial_finding_aids_only,blocked,"request exact 1789-1803 customs financial series and determine whether missing 1790 return survives",https://www.archives.gov/atlanta/holdings/rg-001-049.html
AFB-RG36-0012,"Savannah, Georgia",Georgia,"National Archives at Atlanta","selected manifests begin 1801 in public finding aids","coastwise slave manifests and maritime records",not_confirmed_for_customs_finance,partial_finding_aids_only,blocked,"request exact 1789-1803 financial trade bond and drawback series",https://www.archives.gov/atlanta/finding-aids/rg36_slave_foreign_name.html
